,CVE_ENT,CVE_MUN,CVE_MOD,CVE_TIPO,CVE_SUBTIPO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL_DELITOS,VIVIENDA_ENDUTIH_2015
977,2,3,0,0,0,1,2,2,5,0,1,1,2,2,2,2,0,19,2
978,2,3,0,1,1,36,29,18,19,17,29,25,37,33,18,15,9,249,2
979,2,3,0,2,2,1,3,1,1,0,1,0,1,0,2,0,3,12,2
980,2,3,0,3,3,3,1,6,8,2,2,3,6,7,7,6,3,51,2
981,2,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2
982,2,3,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2
983,2,3,0,4,6,9,8,3,2,5,4,6,8,5,6,4,4,55,2
984,2,3,5,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2
985,2,3,1,5,7,0,1,4,0,1,0,0,3,2,2,2,3,18,2
986,2,3,4,10,11,4,9,3,5,10,13,9,6,10,13,9,6,93,2
987,2,3,4,11,12,0,1,1,0,0,1,0,0,0,0,0,0,3,2
988,2,3,4,12,13,4,6,6,4,8,8,4,6,5,8,3,3,61,2
989,2,3,4,13,14,70,73,83,74,82,82,101,70,90,101,77,68,901,2
990,2,5,6,15,16,0,0,0,0,0,0,1,0,2,2,1,2,8,2
991,2,5,6,15,17,8,4,6,5,2,3,2,3,5,4,5,0,39,2
992,2,5,6,15,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2
993,2,5,6,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2
994,2,5,6,15,20,4,5,5,3,6,0,7,4,2,5,3,1,41,2
995,2,5,6,15,10,4,0,3,6,1,1,1,0,1,5,1,2,21,2
996,2,5,6,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2
997,2,5,6,16,16,49,37,60,39,38,56,35,52,28,48,63,53,509,2
998,2,5,6,16,17,4,2,7,4,6,8,8,5,13,9,5,5,72,2
999,2,5,6,16,18,38,21,27,27,29,45,74,53,50,43,51,48,468,2
1000,2,5,6,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1001,2,5,6,16,20,4,8,7,2,5,9,4,4,6,3,1,3,52,2
1002,2,5,6,16,10,21,15,26,22,27,15,18,17,15,19,27,15,216,2
1003,2,5,6,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1004,2,5,7,17,21,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1005,2,5,9,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1006,2,5,9,15,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1007,2,5,9,15,27,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1008,2,5,9,15,28,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1009,2,5,9,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1010,2,5,9,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1011,2,5,9,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1012,2,5,9,16,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1013,2,5,9,16,27,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1014,2,5,9,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1015,2,5,9,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1016,2,5,9,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1017,2,5,8,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1018,2,5,8,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1019,2,5,8,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1020,2,5,8,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1021,2,5,8,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1022,2,5,8,16,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1023,2,5,8,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1024,2,5,8,16,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1025,2,5,8,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1026,2,5,8,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1027,2,5,3,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1028,2,5,3,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1029,2,5,3,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1030,2,5,3,8,6,13,6,18,14,14,20,30,16,37,25,20,23,223,2
1031,2,5,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1032,2,5,3,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1033,2,5,3,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1034,2,5,3,9,6,7,2,9,6,2,9,4,5,15,10,7,8,77,2
1035,2,5,2,6,8,2,3,2,1,1,3,3,2,1,3,3,2,24,2
1036,2,5,2,6,9,1,0,1,0,1,1,1,0,0,1,1,1,7,2
